algorithm,K,M,T,delta,n,trial,seed,time,cumulative_regret,phase,attempt,attempts_used
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1575251,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1585284,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1595318,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1605351,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1615385,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1625418,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1635452,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1645485,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1655518,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1665552,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1675585,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1685619,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1695652,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1705686,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1715719,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1725753,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1735786,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1745819,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1755853,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1765886,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1775920,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1785953,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1795987,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1806020,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1816054,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1826087,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1836120,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1846154,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1856187,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1866221,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1876254,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1886288,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1896321,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1906355,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1916388,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1926421,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1936455,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1946488,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1956522,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1966555,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1976589,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1986622,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1996656,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,2006689,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,2016722,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,2026756,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,2036789,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,2046823,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,2056856,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,2066890,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,2076923,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,2086957,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,2096990,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,2107023,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,2117057,7992363.862167699,distributed_exploration_phase12,0,1
