algorithm,K,M,T,delta,n,trial,seed,cumulative_regret,total_reward,total_steps,init_duration,find_good_duration,rank_duration,number_players_duration,exploration_duration,collision_count,final_assignment_success,player_count_success,rank_assignment_success,assignment_duplicate,attempt,attempts_used,retry_exhausted
izumi2026,10,4,1000000,7.238241365054197e-08,2,16,20260526,182988.26666735802,140956.0,105634,21410,11520,3290,6600,84224,58733,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,3,16,20260526,253772.333334882,259833.0,167480,19734,12920,2194,4620,147746,80667,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,4,16,20260526,484703.3333315982,266538.0,244970,35578,25688,3290,6600,209392,156465,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,5,16,20260526,470115.79999833775,267393.0,240492,34664,26752,2632,5280,205828,150761,1,1,1,0,0,1,0
huang2022,10,4,1000000,7.238241365054197e-08,1,17,20260527,298161.66666649666,184961.0,157540,30580,10800,6580,13200,126960,94174,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,1,17,20260527,298161.66666649666,184961.0,157540,30580,10800,6580,13200,126960,94174,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,2,17,20260527,185147.93333406097,147291.0,108404,21410,11520,3290,6600,86994,59380,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,3,17,20260527,491101.9333315349,275439.0,249959,40379,26752,4387,9240,209580,159933,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,4,17,20260527,494481.5999981847,276092.0,251274,37858,27968,3290,6600,213416,159942,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,5,17,20260527,449996.0666656703,159645.0,198796,37096,29184,2632,5280,161700,145606,1,1,1,0,0,1,0
huang2022,10,4,1000000,7.238241365054197e-08,1,18,20260528,298294.66666649707,184828.0,157540,30580,10800,6580,13200,126960,94157,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,1,18,20260528,298294.66666649707,184828.0,157540,30580,10800,6580,13200,126960,94157,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,2,18,20260528,190366.2000012174,252485.0,144408,21410,11520,3290,6600,122998,60538,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,3,18,20260528,244396.86666814753,254237.0,162598,19734,12920,2194,4620,142864,77737,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,4,18,20260528,475540.8666655095,161645.0,207778,35578,25688,3290,6600,172200,154620,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,5,18,20260528,479336.199998795,167387.0,210888,34664,26752,2632,5280,176224,154233,1,1,1,0,0,1,0
huang2022,10,4,1000000,7.238241365054197e-08,1,19,20260529,297845.66666649806,185277.0,157540,30580,10800,6580,13200,126960,94142,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,1,19,20260529,297845.66666649806,185277.0,157540,30580,10800,6580,13200,126960,94142,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,2,19,20260529,190030.2000012168,252821.0,144408,21410,11520,3290,6600,122998,60513,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,3,19,20260529,487959.9333321119,163949.0,212579,40379,26752,4387,9240,172200,159791,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,4,19,20260529,486067.1333320933,170451.0,214082,37858,27968,3290,6600,176224,157729,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,5,19,20260529,491696.7999981979,276540.0,250512,37096,29184,2632,5280,213416,158039,1,1,1,0,0,1,0
huang2022,10,4,1000000,7.238241365054197e-08,1,20,20260530,297896.66666649625,185226.0,157540,30580,10800,6580,13200,126960,94124,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,1,20,20260530,297896.66666649625,185226.0,157540,30580,10800,6580,13200,126960,94124,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,2,20,20260530,185101.93333406176,147337.0,108404,21410,11520,3290,6600,86994,59306,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,3,20,20260530,237615.7333342906,142516.0,123956,19734,12920,2194,4620,104222,76300,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,4,20,20260530,481986.13333211356,167540.0,211802,35578,25688,3290,6600,176224,156258,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,5,20,20260530,450171.59999897337,161518.0,199464,34664,26752,2632,5280,164800,145987,1,1,1,0,0,1,0
huang2022,10,4,1000000,7.238241365054197e-08,1,21,20260531,291356.73333319585,185467.0,155486,30580,10800,6580,13200,124906,92312,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,1,21,20260531,291356.73333319585,185467.0,155486,30580,10800,6580,13200,124906,92312,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,2,21,20260531,182543.46666741034,153508.0,109582,21410,11520,3290,6600,88172,58547,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,3,21,20260531,244098.40000101516,149588.0,128376,19734,12920,2194,4620,108642,78630,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,4,21,20260531,463031.1333322389,162391.0,203942,35578,25688,3290,6600,168364,150367,1,1,1,0,0,1,0
