algorithm,K,M,T,delta,n,trial,seed,time,cumulative_regret,phase,attempt,attempts_used
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,478261,981318.7399948089,distributed_exploration_phase7,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,481605,989143.6999946999,distributed_exploration_phase7,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,484950,996970.9999945909,distributed_exploration_phase7,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,488294,1004795.9599944819,distributed_exploration_phase7,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,491639,1012623.2599943728,distributed_exploration_phase7,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,494983,1020448.2199942638,distributed_exploration_phase7,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,498328,1028275.5199941548,distributed_exploration_phase7,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,501672,1036100.4799940458,distributed_exploration_phase7,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,505017,1043927.7799939368,distributed_exploration_phase7,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,508361,1048899.7399938751,distributed_exploration_phase8,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,511706,1051568.0399941555,distributed_exploration_phase8,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,515050,1054282.9999944358,distributed_exploration_phase8,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,518395,1056876.2999947162,distributed_exploration_phase8,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,521739,1059455.2599949965,distributed_exploration_phase8,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,525084,1062186.5599952769,distributed_exploration_phase8,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,528428,1064749.5199955571,distributed_exploration_phase8,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,531773,1067433.8199958375,distributed_exploration_phase8,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,535117,1070001.7799961178,distributed_exploration_phase8,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,538462,1072630.0799963982,distributed_exploration_phase8,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,541806,1075175.0399966785,distributed_exploration_phase8,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,545151,1077799.3399969588,distributed_exploration_phase8,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,548495,1080492.2999972391,distributed_exploration_phase8,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,551839,1083118.2599975194,distributed_exploration_phase8,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,555184,1085734.5599977998,distributed_exploration_phase8,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,558528,1088330.51999808,distributed_exploration_phase8,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,561873,1095860.8199983605,distributed_exploration_phase8,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,565217,1103685.7799986408,distributed_exploration_phase8,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,568562,1111513.0799989211,distributed_exploration_phase8,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,571906,1119338.0399992014,distributed_exploration_phase8,0,1
